2025-08-31 02:26:15,140 | INFO | repair.thrush | Starting analysis for thrush
2025-08-31 02:26:15,140 | INFO | repair.thrush | Starting breaking change analysis for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:15,140 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:15,140 | INFO | repair.thrush | BEGIN pattern 0 (pattern_0)
2025-08-31 02:26:15,140 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "read {<bluebird>,<bluebird/**/*>}?**.{isResolved,isFulfilled,isRejected,isPending}", "changelogId": 0}
2025-08-31 02:26:15,290 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:15,290 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:15,290 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x120473600>, {})
2025-08-31 02:26:15,291 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:15,291 | INFO | repair.thrush | END pattern 0 (pattern_0)
2025-08-31 02:26:15,291 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:15,291 | INFO | repair.thrush | BEGIN pattern 0 (pattern_0)
2025-08-31 02:26:15,291 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "write {<bluebird>,<bluebird/**/*>}?**.{isResolved,isFulfilled,isRejected,isPending}", "changelogId": 0}
2025-08-31 02:26:15,447 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:15,448 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:15,448 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x120473600>, {})
2025-08-31 02:26:15,448 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:15,448 | INFO | repair.thrush | END pattern 0 (pattern_0)
2025-08-31 02:26:15,448 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:15,448 | INFO | repair.thrush | BEGIN pattern 1 (pattern_1)
2025-08-31 02:26:15,448 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "read {<bluebird>,<bluebird/**/*>}?**.{defer}", "changelogId": 1}
2025-08-31 02:26:15,601 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:15,601 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:15,602 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x120473600>, {})
2025-08-31 02:26:15,602 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:15,602 | INFO | repair.thrush | END pattern 1 (pattern_1)
2025-08-31 02:26:15,602 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:15,602 | INFO | repair.thrush | BEGIN pattern 1 (pattern_1)
2025-08-31 02:26:15,602 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "write {<bluebird>,<bluebird/**/*>}?**.{defer}", "changelogId": 1}
2025-08-31 02:26:15,748 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:15,748 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:15,748 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x120473600>, {})
2025-08-31 02:26:15,749 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:15,749 | INFO | repair.thrush | END pattern 1 (pattern_1)
2025-08-31 02:26:15,749 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:15,749 | INFO | repair.thrush | BEGIN pattern 2 (pattern_2)
2025-08-31 02:26:15,749 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "read {<bluebird>,<bluebird/**/*>}?**.{catch}", "changelogId": 2}
2025-08-31 02:26:15,902 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:15,902 | DEBUG | repair.thrush | Parsed detection output: [{'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 43, 'column': 19}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 85, 'column': 23}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 107, 'column': 23}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 173, 'column': 23}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 197, 'column': 23}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 264, 'column': 23}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 286, 'column': 23}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 352, 'column': 23}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 376, 'column': 23}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 498, 'column': 19}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 517, 'column': 19}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 533, 'column': 19}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 554, 'column': 16}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 569, 'column': 16}, {'pattern_id': 2, 'file': 'test/thrushTest.js', 'line': 629, 'column': 19}]
2025-08-31 02:26:15,902 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x107ab68e0>, {'test/thrushTest.js': defaultdict(<class 'list'>, {2: [{'line': 43, 'column': 19}, {'line': 85, 'column': 23}, {'line': 107, 'column': 23}, {'line': 173, 'column': 23}, {'line': 197, 'column': 23}, {'line': 264, 'column': 23}, {'line': 286, 'column': 23}, {'line': 352, 'column': 23}, {'line': 376, 'column': 23}, {'line': 498, 'column': 19}, {'line': 517, 'column': 19}, {'line': 533, 'column': 19}, {'line': 554, 'column': 16}, {'line': 569, 'column': 16}, {'line': 629, 'column': 19}]})})
2025-08-31 02:26:15,904 | INFO | repair.thrush | New context extracted from /bluebird/results/gpt-4.1/thrush/test/thrushTest.js
2025-08-31 02:26:20,431 | DEBUG | repair.thrush | AI repair suggestion: {
  "repairFlag": false,
  "modified_code": "",
  "additional_req": "",
  "dependencies": []
}
2025-08-31 02:26:20,432 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:20,433 | INFO | repair.thrush | END pattern 2 (pattern_2)
2025-08-31 02:26:20,433 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:20,433 | INFO | repair.thrush | BEGIN pattern 2 (pattern_2)
2025-08-31 02:26:20,433 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "write {<bluebird>,<bluebird/**/*>}?**.{catch}", "changelogId": 2}
2025-08-31 02:26:20,605 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:20,605 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:20,605 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x107ab6700>, {})
2025-08-31 02:26:20,605 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:20,605 | INFO | repair.thrush | END pattern 2 (pattern_2)
2025-08-31 02:26:20,605 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:20,605 | INFO | repair.thrush | BEGIN pattern 4 (pattern_4)
2025-08-31 02:26:20,605 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "call {<bluebird>,<bluebird/**/*>}?**.{Promise}", "changelogId": 4}
2025-08-31 02:26:20,772 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:20,772 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:20,772 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x107ab6700>, {})
2025-08-31 02:26:20,772 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:20,772 | INFO | repair.thrush | END pattern 4 (pattern_4)
2025-08-31 02:26:20,772 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:20,772 | INFO | repair.thrush | BEGIN pattern 5 (pattern_5)
2025-08-31 02:26:20,772 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "read {<bluebird>,<bluebird/**/*>}?**.{promisify,promisifyAll,fromCallback}", "changelogId": 5}
2025-08-31 02:26:20,922 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:20,923 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:20,923 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x107ab6700>, {})
2025-08-31 02:26:20,923 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:20,923 | INFO | repair.thrush | END pattern 5 (pattern_5)
2025-08-31 02:26:20,923 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:20,923 | INFO | repair.thrush | BEGIN pattern 5 (pattern_5)
2025-08-31 02:26:20,923 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "write {<bluebird>,<bluebird/**/*>}?**.{promisify,promisifyAll,fromCallback}", "changelogId": 5}
2025-08-31 02:26:21,088 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:21,088 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:21,088 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x107ab6700>, {})
2025-08-31 02:26:21,089 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:21,089 | INFO | repair.thrush | END pattern 5 (pattern_5)
2025-08-31 02:26:21,089 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:21,089 | INFO | repair.thrush | BEGIN pattern 6 (pattern_6)
2025-08-31 02:26:21,089 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "read {<bluebird>,<bluebird/**/*>}?**.{promisify}", "changelogId": 6}
2025-08-31 02:26:21,243 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:21,243 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:21,243 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x107ab6700>, {})
2025-08-31 02:26:21,244 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:21,244 | INFO | repair.thrush | END pattern 6 (pattern_6)
2025-08-31 02:26:21,244 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:21,244 | INFO | repair.thrush | BEGIN pattern 6 (pattern_6)
2025-08-31 02:26:21,244 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "write {<bluebird>,<bluebird/**/*>}?**.{promisify}", "changelogId": 6}
2025-08-31 02:26:21,403 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:21,404 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:21,404 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x107ab6700>, {})
2025-08-31 02:26:21,404 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:21,404 | INFO | repair.thrush | END pattern 6 (pattern_6)
2025-08-31 02:26:21,404 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:21,404 | INFO | repair.thrush | BEGIN pattern 7 (pattern_7)
2025-08-31 02:26:21,404 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "read {<bluebird>,<bluebird/**/*>}?**.{each}", "changelogId": 7}
2025-08-31 02:26:21,555 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:21,555 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:21,555 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x107ab6700>, {})
2025-08-31 02:26:21,555 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:21,555 | INFO | repair.thrush | END pattern 7 (pattern_7)
2025-08-31 02:26:21,556 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:21,556 | INFO | repair.thrush | BEGIN pattern 7 (pattern_7)
2025-08-31 02:26:21,556 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "write {<bluebird>,<bluebird/**/*>}?**.{each}", "changelogId": 7}
2025-08-31 02:26:21,722 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:21,723 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:21,723 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x107ab6700>, {})
2025-08-31 02:26:21,723 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:21,723 | INFO | repair.thrush | END pattern 7 (pattern_7)
2025-08-31 02:26:21,723 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:21,723 | INFO | repair.thrush | BEGIN pattern 8 (pattern_8)
2025-08-31 02:26:21,723 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "read {<bluebird>,<bluebird/**/*>}?**.{spread}", "changelogId": 8}
2025-08-31 02:26:21,874 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:21,874 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:21,874 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x107ab6700>, {})
2025-08-31 02:26:21,874 | DEBUG | repair.thrush | Updated package.json saved at /bluebird/results/gpt-4.1/thrush/package.json
2025-08-31 02:26:21,874 | INFO | repair.thrush | END pattern 8 (pattern_8)
2025-08-31 02:26:21,875 | INFO | repair.thrush | ============================================================
2025-08-31 02:26:21,875 | INFO | repair.thrush | BEGIN pattern 8 (pattern_8)
2025-08-31 02:26:21,875 | DEBUG | repair.thrush | Pattern payload: {"type": "call", "pattern": "write {<bluebird>,<bluebird/**/*>}?**.{spread}", "changelogId": 8}
2025-08-31 02:26:22,041 | INFO | repair.thrush | Tapir run successful for /bluebird/results/gpt-4.1/thrush
2025-08-31 02:26:22,041 | DEBUG | repair.thrush | Parsed detection output: []
2025-08-31 02:26:22,041 | DEBUG | repair.thrush | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x120471f80>, {})
