2025-08-31 19:02:46,502 | INFO | repair.gwi-4.0.0 | Starting analysis for gwi-4.0.0
2025-08-31 19:02:46,502 | INFO | repair.gwi-4.0.0 | Starting breaking change analysis for -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0
2025-08-31 19:02:46,503 | INFO | repair.gwi-4.0.0 | ============================================================
2025-08-31 19:02:46,503 | INFO | repair.gwi-4.0.0 | BEGIN pattern 2 (pattern_2)
2025-08-31 19:02:46,503 | DEBUG | repair.gwi-4.0.0 | Pattern payload: {"type": "call", "pattern": "read {<replace-in-file>,<replace-in-file/**/*>}?**.{sync}", "changelogId": 2}
2025-08-31 19:02:46,666 | INFO | repair.gwi-4.0.0 | Tapir run successful for -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0
2025-08-31 19:02:46,667 | DEBUG | repair.gwi-4.0.0 | Parsed detection output: []
2025-08-31 19:02:46,667 | DEBUG | repair.gwi-4.0.0 | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x1100558a0>, {})
2025-08-31 19:02:46,667 | DEBUG | repair.gwi-4.0.0 | Updated package.json saved at -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0/package.json
2025-08-31 19:02:46,667 | INFO | repair.gwi-4.0.0 | END pattern 2 (pattern_2)
2025-08-31 19:02:46,667 | INFO | repair.gwi-4.0.0 | ============================================================
2025-08-31 19:02:46,667 | INFO | repair.gwi-4.0.0 | BEGIN pattern 2 (pattern_2)
2025-08-31 19:02:46,667 | DEBUG | repair.gwi-4.0.0 | Pattern payload: {"type": "call", "pattern": "write {<replace-in-file>,<replace-in-file/**/*>}?**.{sync}", "changelogId": 2}
2025-08-31 19:02:46,820 | INFO | repair.gwi-4.0.0 | Tapir run successful for -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0
2025-08-31 19:02:46,820 | DEBUG | repair.gwi-4.0.0 | Parsed detection output: []
2025-08-31 19:02:46,820 | DEBUG | repair.gwi-4.0.0 | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x1100558a0>, {})
2025-08-31 19:02:46,820 | DEBUG | repair.gwi-4.0.0 | Updated package.json saved at -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0/package.json
2025-08-31 19:02:46,820 | INFO | repair.gwi-4.0.0 | END pattern 2 (pattern_2)
2025-08-31 19:02:46,820 | INFO | repair.gwi-4.0.0 | ============================================================
2025-08-31 19:02:46,820 | INFO | repair.gwi-4.0.0 | BEGIN pattern 3 (pattern_3)
2025-08-31 19:02:46,821 | DEBUG | repair.gwi-4.0.0 | Pattern payload: {"type": "call", "pattern": "read {<replace-in-file>,<replace-in-file/**/*>}?**.{replace}", "changelogId": 3}
2025-08-31 19:02:46,970 | INFO | repair.gwi-4.0.0 | Tapir run successful for -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0
2025-08-31 19:02:46,970 | DEBUG | repair.gwi-4.0.0 | Parsed detection output: []
2025-08-31 19:02:46,970 | DEBUG | repair.gwi-4.0.0 | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x1100558a0>, {})
2025-08-31 19:02:46,970 | DEBUG | repair.gwi-4.0.0 | Updated package.json saved at -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0/package.json
2025-08-31 19:02:46,970 | INFO | repair.gwi-4.0.0 | END pattern 3 (pattern_3)
2025-08-31 19:02:46,971 | INFO | repair.gwi-4.0.0 | ============================================================
2025-08-31 19:02:46,971 | INFO | repair.gwi-4.0.0 | BEGIN pattern 3 (pattern_3)
2025-08-31 19:02:46,971 | DEBUG | repair.gwi-4.0.0 | Pattern payload: {"type": "call", "pattern": "write {<replace-in-file>,<replace-in-file/**/*>}?**.{replace}", "changelogId": 3}
2025-08-31 19:02:47,117 | INFO | repair.gwi-4.0.0 | Tapir run successful for -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0
2025-08-31 19:02:47,117 | DEBUG | repair.gwi-4.0.0 | Parsed detection output: []
2025-08-31 19:02:47,117 | DEBUG | repair.gwi-4.0.0 | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x1100558a0>, {})
2025-08-31 19:02:47,118 | DEBUG | repair.gwi-4.0.0 | Updated package.json saved at -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0/package.json
2025-08-31 19:02:47,118 | INFO | repair.gwi-4.0.0 | END pattern 3 (pattern_3)
2025-08-31 19:02:47,118 | INFO | repair.gwi-4.0.0 | ============================================================
2025-08-31 19:02:47,118 | INFO | repair.gwi-4.0.0 | BEGIN pattern 5 (pattern_5)
2025-08-31 19:02:47,118 | DEBUG | repair.gwi-4.0.0 | Pattern payload: {"type": "call", "pattern": "read {<replace-in-file>,<replace-in-file/**/*>}?**.{replaceInFile,replaceInFileSync}", "changelogId": 5}
2025-08-31 19:02:47,266 | INFO | repair.gwi-4.0.0 | Tapir run successful for -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0
2025-08-31 19:02:47,267 | DEBUG | repair.gwi-4.0.0 | Parsed detection output: []
2025-08-31 19:02:47,267 | DEBUG | repair.gwi-4.0.0 | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x1100558a0>, {})
2025-08-31 19:02:47,267 | DEBUG | repair.gwi-4.0.0 | Updated package.json saved at -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0/package.json
2025-08-31 19:02:47,267 | INFO | repair.gwi-4.0.0 | END pattern 5 (pattern_5)
2025-08-31 19:02:47,267 | INFO | repair.gwi-4.0.0 | ============================================================
2025-08-31 19:02:47,267 | INFO | repair.gwi-4.0.0 | BEGIN pattern 5 (pattern_5)
2025-08-31 19:02:47,267 | DEBUG | repair.gwi-4.0.0 | Pattern payload: {"type": "call", "pattern": "write {<replace-in-file>,<replace-in-file/**/*>}?**.{replaceInFile,replaceInFileSync}", "changelogId": 5}
2025-08-31 19:02:47,413 | INFO | repair.gwi-4.0.0 | Tapir run successful for -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0
2025-08-31 19:02:47,413 | DEBUG | repair.gwi-4.0.0 | Parsed detection output: []
2025-08-31 19:02:47,413 | DEBUG | repair.gwi-4.0.0 | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x1100558a0>, {})
2025-08-31 19:02:47,413 | DEBUG | repair.gwi-4.0.0 | Updated package.json saved at -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0/package.json
2025-08-31 19:02:47,413 | INFO | repair.gwi-4.0.0 | END pattern 5 (pattern_5)
2025-08-31 19:02:47,414 | INFO | repair.gwi-4.0.0 | ============================================================
2025-08-31 19:02:47,414 | INFO | repair.gwi-4.0.0 | BEGIN pattern 6 (pattern_6)
2025-08-31 19:02:47,414 | DEBUG | repair.gwi-4.0.0 | Pattern payload: {"type": "call", "pattern": "read {<replace-in-file>,<replace-in-file/**/*>}?**.{replaceInFile,replaceInFileSync}", "changelogId": 6}
2025-08-31 19:02:47,565 | INFO | repair.gwi-4.0.0 | Tapir run successful for -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0
2025-08-31 19:02:47,565 | DEBUG | repair.gwi-4.0.0 | Parsed detection output: []
2025-08-31 19:02:47,565 | DEBUG | repair.gwi-4.0.0 | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x1100558a0>, {})
2025-08-31 19:02:47,566 | DEBUG | repair.gwi-4.0.0 | Updated package.json saved at -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0/package.json
2025-08-31 19:02:47,566 | INFO | repair.gwi-4.0.0 | END pattern 6 (pattern_6)
2025-08-31 19:02:47,566 | INFO | repair.gwi-4.0.0 | ============================================================
2025-08-31 19:02:47,566 | INFO | repair.gwi-4.0.0 | BEGIN pattern 6 (pattern_6)
2025-08-31 19:02:47,566 | DEBUG | repair.gwi-4.0.0 | Pattern payload: {"type": "call", "pattern": "write {<replace-in-file>,<replace-in-file/**/*>}?**.{replaceInFile,replaceInFileSync}", "changelogId": 6}
2025-08-31 19:02:47,726 | INFO | repair.gwi-4.0.0 | Tapir run successful for -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0
2025-08-31 19:02:47,727 | DEBUG | repair.gwi-4.0.0 | Parsed detection output: []
2025-08-31 19:02:47,727 | DEBUG | repair.gwi-4.0.0 | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x1100558a0>, {})
2025-08-31 19:02:47,727 | DEBUG | repair.gwi-4.0.0 | Updated package.json saved at -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0/package.json
2025-08-31 19:02:47,727 | INFO | repair.gwi-4.0.0 | END pattern 6 (pattern_6)
2025-08-31 19:02:47,727 | INFO | repair.gwi-4.0.0 | ============================================================
2025-08-31 19:02:47,727 | INFO | repair.gwi-4.0.0 | BEGIN pattern 0 (pattern_0)
2025-08-31 19:02:47,727 | DEBUG | repair.gwi-4.0.0 | Pattern payload: {"type": "import", "pattern": "import {replace-in-file/**/*,replace-in-file}", "changelogId": 0}
2025-08-31 19:02:47,912 | INFO | repair.gwi-4.0.0 | Tapir run successful for -2024/replace-in-file/results/gpt-4.1/gwi-4.0.0
