2025-08-31 18:58:01,478 | INFO | repair.sejong-auth-delegator-main | Starting analysis for sejong-auth-delegator-main
2025-08-31 18:58:01,478 | INFO | repair.sejong-auth-delegator-main | Starting breaking change analysis for -2024/replace-in-file/results/gpt-4.1/sejong-auth-delegator-main
2025-08-31 18:58:01,479 | INFO | repair.sejong-auth-delegator-main | ============================================================
2025-08-31 18:58:01,479 | INFO | repair.sejong-auth-delegator-main | BEGIN pattern 2 (pattern_2)
2025-08-31 18:58:01,479 | DEBUG | repair.sejong-auth-delegator-main | Pattern payload: {"type": "call", "pattern": "read {<replace-in-file>,<replace-in-file/**/*>}?**.{sync}", "changelogId": 2}
2025-08-31 18:58:01,853 | INFO | repair.sejong-auth-delegator-main | Tapir run successful for -2024/replace-in-file/results/gpt-4.1/sejong-auth-delegator-main
2025-08-31 18:58:01,853 | DEBUG | repair.sejong-auth-delegator-main | Parsed detection output: []
2025-08-31 18:58:01,854 | DEBUG | repair.sejong-auth-delegator-main | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x1075b6d40>, {})
2025-08-31 18:58:01,854 | DEBUG | repair.sejong-auth-delegator-main | Updated package.json saved at -2024/replace-in-file/results/gpt-4.1/sejong-auth-delegator-main/package.json
2025-08-31 18:58:01,854 | INFO | repair.sejong-auth-delegator-main | END pattern 2 (pattern_2)
2025-08-31 18:58:01,854 | INFO | repair.sejong-auth-delegator-main | ============================================================
2025-08-31 18:58:01,854 | INFO | repair.sejong-auth-delegator-main | BEGIN pattern 2 (pattern_2)
2025-08-31 18:58:01,854 | DEBUG | repair.sejong-auth-delegator-main | Pattern payload: {"type": "call", "pattern": "write {<replace-in-file>,<replace-in-file/**/*>}?**.{sync}", "changelogId": 2}
2025-08-31 18:58:02,000 | INFO | repair.sejong-auth-delegator-main | Tapir run successful for -2024/replace-in-file/results/gpt-4.1/sejong-auth-delegator-main
2025-08-31 18:58:02,000 | DEBUG | repair.sejong-auth-delegator-main | Parsed detection output: []
2025-08-31 18:58:02,000 | DEBUG | repair.sejong-auth-delegator-main | Arranged locations: defaultdict(<function arrangeLocations.<locals>.<lambda> at 0x1075b6d40>, {})
2025-08-31 18:58:02,001 | DEBUG | repair.sejong-auth-delegator-main | Updated package.json saved at -2024/replace-in-file/results/gpt-4.1/sejong-auth-delegator-main/package.json
2025-08-31 18:58:02,001 | INFO | repair.sejong-auth-delegator-main | END pattern 2 (pattern_2)
2025-08-31 18:58:02,001 | INFO | repair.sejong-auth-delegator-main | ============================================================
2025-08-31 18:58:02,001 | INFO | repair.sejong-auth-delegator-main | BEGIN pattern 3 (pattern_3)
2025-08-31 18:58:02,001 | DEBUG | repair.sejong-auth-delegator-main | Pattern payload: {"type": "call", "pattern": "read {<replace-in-file>,<replace-in-file/**/*>}?**.{replace}", "changelogId": 3}
2025-08-31 18:58:02,131 | INFO | repair.sejong-auth-delegator-main | Tapir run successful for -2024/replace-in-file/results/gpt-4.1/sejong-auth-delegator-main
2025-08-31 18:58:02,132 | DEBUG | repair.sejong-auth-delegator-main | Parsed detection output: []
