package_name,repo_url,changelog_file,migration_file,readme_breaking_file,breaking_change_in_releases,other_files,event_exist,reason,external,ext
eslint,https://github.com/eslint/eslint,CHANGELOG.md,,,TRUE,docs/src/use/migrat*.md,TRUE,,https://eslint.org/docs/latest/use/migrate-to-9.0.0,https://eslint.org
react,https://github.com/facebook/react,CHANGELOG.md,,,TRUE,,TRUE,,,https://react.dev
mocha,https://github.com/mochajs/mocha,CHANGELOG.md,,,TRUE,,TRUE,,,https://mochajs.org
prettier,https://github.com/prettier/prettier,CHANGELOG.md,,,TRUE,website/*,TRUE,,,https://prettier.io
react-dom,https://github.com/facebook/react,CHANGELOG.md,,,TRUE,website /*,TRUE,,,https://react.dev
webpack,https://github.com/webpack/webpack,,,,TRUE,,TRUE,,https://webpack.js.org/migrate/,https://webpack.js.org
chai,https://github.com/chaijs/chai,,,,TRUE,,TRUE,,,https://chaijs.github.io
axios,https://github.com/axios/axios,CHANGELOG.md,MIGRATION_GUIDE.md,,TRUE,,TRUE,,,https://axios-http.com
babel-loader,https://github.com/babel/babel-loader,,,,TRUE,,TRUE,,,
eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,CHANGELOG.md,,,TRUE,,TRUE,,,
rollup,https://github.com/rollup/rollup,CHANGELOG.md,,,TRUE,,TRUE,,https://rollupjs.org/migration,https://rollupjs.org
eslint-config-prettier,https://github.com/prettier/eslint-config-prettier,CHANGELOG.md,,,FALSE,,,,,https://npm.im/eslint-config-prettier
eslint-plugin-prettier,https://github.com/prettier/eslint-plugin-prettier,CHANGELOG.md,,,TRUE,,TRUE,,,https://npm.im/eslint-plugin-prettier
babel-eslint,https://github.com/babel/babel-eslint,,,,TRUE,,TRUE,,,https://github.com/babel/babel/tree/main/eslint/babel-eslint-parser
chalk,https://github.com/chalk/chalk,,,,TRUE,,,,,
eslint-plugin-react,https://github.com/jsx-eslint/eslint-plugin-react,CHANGELOG.md,,,TRUE,,TRUE,,,
express,https://github.com/expressjs/express,,,,TRUE,History.md,TRUE,,,https://expressjs.com
husky,https://github.com/typicode/husky,,,,TRUE,,,,https://typicode.github.io/husky/migrate-from-v4.html,https://typicode.github.io/husky
webpack-cli,https://github.com/webpack/webpack-cli,CHANGELOG.md,,,TRUE,,TRUE,,,https://webpack.js.org/api/cli
next,https://github.com/vercel/next.js,,,,TRUE,,TRUE,,https://nextjs.org/docs/app/guides/upgrading/,https://nextjs.org
css-loader,https://github.com/webpack-contrib/css-loader,CHANGELOG.md,,,TRUE,,TRUE,,,
eslint-config-next,https://github.com/vercel/next.js,,,,TRUE,,TRUE,,https://nextjs.org/docs/app/guides/upgrading/,https://nextjs.org
lodash,https://github.com/lodash/lodash,,,,TRUE,,,,https://github.com/lodash/lodash/wiki/Changelog,https://lodash.com/
cross-env,https://github.com/kentcdodds/cross-env,,,,TRUE,,TRUE,,,https://www.npmjs.com/package/cross-env
style-loader,https://github.com/webpack-contrib/style-loader,CHANGELOG.md,,,TRUE,,TRUE,,,
lint-staged,https://github.com/lint-staged/lint-staged,CHANGELOG.md,MIGRATION.md,,TRUE,,,,,https://www.npmjs.com/package/lint-staged
autoprefixer,https://github.com/postcss/autoprefixer,CHANGELOG.md,,,TRUE,,,,,https://twitter.com/autoprefixer
commander,https://github.com/tj/commander.js,CHANGELOG.md,,,TRUE,,TRUE,,,
babel-preset-env,https://github.com/babel/babel-preset-env,CHANGELOG.md,,README.md,TRUE,,TRUE,,,https://github.com/babel/babel/tree/master/packages/babel-preset-env
fs-extra,https://github.com/jprichardson/node-fs-extra,CHANGELOG.md,,,FALSE,,TRUE,,,
gulp,https://github.com/gulpjs/gulp,CHANGELOG.md,,,TRUE,,,,https://github.com/gulpjs/gulp/tree/master/docs/api,https://gulpjs.com
dotenv,https://github.com/motdotla/dotenv,CHANGELOG.md,,,FALSE,,,,,https://www.dotenvx.com
sass-loader,https://github.com/webpack-contrib/sass-loader,CHANGELOG.md,,README.md,TRUE,,TRUE,,,
sinon,https://github.com/sinonjs/sinon,CHANGES.md,"/docs/guides
/migration-guide.md",,TRUE,,TRUE,,,https://sinonjs.org/
moment,https://github.com/moment/moment,CHANGELOG.md,,,FALSE,,TRUE,,https://gist.github.com/timrwood/e72f2eef320ed9e37c51,momentjs.com
node-sass,https://github.com/sass/node-sass,,,,TRUE,,TRUE,,,https://npmjs.org/package/node-sass
core-js,https://github.com/zloirock/core-js,CHANGELOG.md,,README.md,TRUE,,TRUE,,,
sass,https://github.com/sass/dart-sass,CHANGELOG.md,,README.md,TRUE,,,,,https://sass-lang.com/dart-sass
eslint-plugin-promise,https://github.com/eslint-community/eslint-plugin-promise,CHANGELOG.md,,,TRUE,,TRUE,,https://sass-lang.com/documentation/breaking-changes/,
@rollup/plugin-node-resolve,https://github.com/rollup/plugins,CHANGELOG.md,,,FALSE,,TRUE,,,
prop-types,https://github.com/facebook/prop-types,CHANGELOG.md,,,FALSE,,TRUE,,,
html-webpack-plugin,https://github.com/jantimon/html-webpack-plugin,CHANGELOG.md,migration.md,,FALSE,,TRUE,,,
nyc,https://github.com/istanbuljs/nyc,CHANGELOG.md,,,TRUE,,TRUE,,,https://istanbul.js.org/
eslint-plugin-react-hooks,https://github.com/facebook/react,CHANGELOG.md,,,TRUE,,TRUE,,,https://react.dev
@testing-library/react,https://github.com/testing-library/react-testing-library,,,,TRUE,,TRUE,,,https://testing-library.com/react
eslint-plugin-node,https://github.com/mysticatea/eslint-plugin-node,,,,TRUE,,TRUE,,,
file-loader,https://github.com/webpack-contrib/file-loader,CHANGELOG.md,,,TRUE,,TRUE,,,
eslint-plugin-jsx-a11y,https://github.com/jsx-eslint/eslint-plugin-jsx-a11y,CHANGELOG.md,,,TRUE,,,,,
@rollup/plugin-commonjs,https://github.com/rollup/plugins,CHANGELOG.md,,,FALSE,,TRUE,,,
request,https://github.com/request/request,,,,FALSE,,,no,,
eslint-plugin-vue,https://github.com/vuejs/eslint-plugin-vue,,,,TRUE,,TRUE,,,https://eslint.vuejs.org/
npm-run-all,https://github.com/mysticatea/npm-run-all,,,,TRUE,,TRUE,,,
debug,https://github.com/debug-js/debug,,,,TRUE,,TRUE,,,
@testing-library/jest-dom,https://github.com/testing-library/jest-dom,,,README.md,TRUE,,TRUE,,,https://testing-library.com/docs/ecosystem-jest-dom
karma,https://github.com/karma-runner/karma,CHANGELOG.md,,,TRUE,,TRUE,,,http://karma-runner.github.io
coveralls,https://github.com/nickmerwin/node-coveralls,,,,TRUE,,,,,
react-scripts,https://github.com/facebook/create-react-app,CHANGELOG.md,,,TRUE,,TRUE,,,https://create-react-app.dev
postcss-loader,https://github.com/webpack-contrib/postcss-loader,CHANGELOG.md,,,TRUE,,TRUE,,,
yargs,https://github.com/yargs/yargs,CHANGELOG.md,,,TRUE,,TRUE,,,https://yargs.js.org/
eslint-config-airbnb,https://github.com/airbnb/javascript,packages/eslint-config-airbnb/CHANGELOG.md,,,FALSE,,TRUE,,,
eslint-plugin-standard,https://github.com/standard/eslint-plugin-standard,,,,FALSE,,,no,,
url-loader,https://github.com/webpack-contrib/url-loader,CHANGELOG.md,,,TRUE,,TRUE,,,
semver,https://github.com/npm/node-semver,,,,FALSE,,,,,
istanbul,https://github.com/gotwarlost/istanbul,CHANGELOG.md,,,FALSE,,,,,
rollup-plugin-terser,https://github.com/TrySound/rollup-plugin-terser,,,,TRUE,,,,,
nodemon,https://github.com/remy/nodemon,,,,TRUE,,TRUE,,,http://nodemon.io/
rollup-plugin-node-resolve,https://github.com/rollup/rollup-plugin-node-resolve,CHANGELOG.md,,,FALSE,,,,,
rollup-plugin-babel,https://github.com/rollup/rollup-plugin-babel,CHANGELOG.md,,,FALSE,,,,,
eslint-config-airbnb-base,https://github.com/airbnb/javascript,CHANGELOG.md,,,FALSE,,TRUE,,,
node-fetch,https://github.com/bitinn/node-fetch,,UPGRADE*.md,,TRUE,,,,,
karma-chrome-launcher,https://github.com/karma-runner/karma-chrome-launcher,CHANGELOG.md,,,FALSE,,,no,,
jsdom,https://github.com/jsdom/jsdom,Changelog.md,,,TRUE,,TRUE,,,
@vue/cli-service,https://github.com/vuejs/vue-cli,CHANGELOG.md,docs/migrations/migrate*.md,,TRUE,,TRUE,,,https://cli.vuejs.org/
rollup-plugin-commonjs,https://github.com/rollup/rollup-plugin-commonjs,CHANGELOG.md,,,FALSE,,,,,
classnames,https://github.com/JedWatson/classnames,,,,FALSE,HISTORY.md,TRUE,,,
@vue/cli-plugin-babel,https://github.com/vuejs/vue-cli,CHANGELOG.md,docs/migrations/migrate*.md,,TRUE,,TRUE,,,https://cli.vuejs.org/
grunt,https://github.com/gruntjs/grunt,CHANGELOG,,,TRUE,,TRUE,,https://gruntjs.com/upgrading-from-0.4-to-1.0,http://gruntjs.com/
@rollup/plugin-typescript,https://github.com/rollup/plugins,packages/typescript/CHANGELOG.md,,,FALSE,,TRUE,,,
semantic-release,https://github.com/semantic-release/semantic-release,,,,TRUE,,TRUE,,,https://semantic-release.gitbook.io
less,https://github.com/less/less.js,CHANGELOG.md,,,TRUE,,,,,http://lesscss.org
extract-text-webpack-plugin,https://github.com/webpack-contrib/extract-text-webpack-plugin,CHANGELOG.md,,,TRUE,,TRUE,,,
tape,https://github.com/tape-testing/tape,CHANGELOG.md,,,FALSE,,TRUE,,,
react-test-renderer,https://github.com/facebook/react,CHANGELOG.md,,,TRUE,,TRUE,,,https://react.dev
